listing_id,name,host_id,host_name,host_city,host_state,host_country,neighbourhood,property_type,room_type,review_scores_rating
27412213,Cozy1 bedroom apartment with a sunny roof terrace,146286780,Maayke,Amsterdam,North Holland,The Netherlands,Watergraafsmeer,Entire apartment,Entire home/apt,96
27413601,Specious house in a trendy neighborhood,55742906,Renana,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire townhouse,Entire home/apt,100
27415645,Amsterdam Loft | City Center | Family Apartment,8665878,Nathalie,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire loft,Entire home/apt,100
27420438,"Cosy city apartment, ideal for a small family!",15068487,Niki,Amsterdam,North Holland,The Netherlands,Bos en Lommer,Entire apartment,Entire home/apt,100
27426530,Ground floor garden apartment - great neighborhood,206683518,Nina,The Netherlands,,,Oud-Oost,Entire apartment,Entire home/apt,90
27426691,"Stylish apt, canal view, quiet, nearby Vondelpark",5809919,Thomas,Amsterdam,North Holland,The Netherlands,Slotervaart,Entire apartment,Entire home/apt,100
27427699,"Bright, Contemporary Apartment in Amsterdam",19124060,Afra,Amsterdam,North Holland,The Netherlands,Bos en Lommer,Entire apartment,Entire home/apt,100
27428560,Luxurious canal view appartement,16536809,Annelies,Amsterdam,North Holland,The Netherlands,Oud-Oost,Entire condominium,Entire home/apt,100
27429715,Double room Close to Amsterdam City Centre,206701572,Prasuk,The Netherlands,,,De Aker - Nieuw Sloten,Private room in apartment,Private room,
27429909,Stylish apartment near Oosterpark and city centre,23322890,Anouk,Amsterdam,North Holland,The Netherlands,Oud-Oost,Entire apartment,Entire home/apt,100
27429926,Gezellige appartement 10 minuten naar het centrum,12186785,Diana,Amsterdam,North Holland,The Netherlands,IJburg - Zeeburgereiland,Entire apartment,Entire home/apt,90
27431754,City centre apartment - private rooftop&hot tub,204514578,Sander,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Private room in apartment,Private room,
27434706,COSY AND WARM || DUTCH DESIGN APT || AMSTERDAM,65859990,Martijn,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,100
27447025,Cosy studio in city centre,206834549,Bas,The Netherlands,,,Centrum-West,Entire apartment,Entire home/apt,90
27447278,Light double bed room close to the city,44937452,Anne & Eric,Amsterdam,North Holland,The Netherlands,Westerpark,Private room in townhouse,Private room,100
27448519,Private rooms on a bohemian houseboat,4387197,Rob,Amsterdam,North Holland,The Netherlands,Oud-Noord,Private room in houseboat,Private room,97
27449005,Amsterdam Hidden Cottage + free parking,127727503,Inez,Amsterdam,North Holland,The Netherlands,Noord-Oost,Entire cottage,Entire home/apt,100
27449762,SINGLE ROOM | Historic dykehouse,3879739,Anoeska,Amsterdam,North Holland,The Netherlands,Noord-Oost,Private room in house,Private room,
27450048,Cosy Appartment-Amsterdam canalhouse experience,46544272,Priscilla,Amsterdam,North Holland,The Netherlands,De Baarsjes - Oud-West,Entire apartment,Entire home/apt,98
27455279,Stylish 2 Bedroom Apartment @ Amsterdam South,206890849,Nienja,Amsterdam,North Holland,The Netherlands,Zuid,Entire apartment,Entire home/apt,90
27459192,NEW! Recently renovated apartment with garden,41609885,Janny,Amsterdam,North Holland,The Netherlands,Oostelijk Havengebied - Indische Buurt,Entire apartment,Entire home/apt,100
27464499,3km from Central Station. Private entry. Big bed !,8741023,Martijn And Kim,Amsterdam,North Holland,The Netherlands,Oud-Noord,Private room in guest suite,Private room,98
27466185,Quiet room in a modern apartment,14451325,Daniele,Amsterdam,North Holland,The Netherlands,Bijlmer-Oost,Private room in apartment,Private room,97
